vendor_code,seller_id,vendor_name,merchant_name
ZAV00023,8d956fec2e4337affcb520f56fd8cbfd,Arte Vitória Commerce,Arte Vitória Comércio
ZAV00024,c8417879a15366a17c30af34c798c332,CENTRALLÍRIOCOMÉRCIO,Central Lírio Comércio
ZAV00025,2075d8cd4dd63ff12df0749a5866bb06,Rubi Retail,Rubi Varejo
ZAV00026,df560393f3a51e74553ab94004ba5c87,Espaço Rubi.,Espaço Rubi
ZAV00027,2a61c271b1ac763450d846849783e922,Bella Gira.,Bella Girassol
ZAV00028,3d01d1c414c44b5943a09619ff3853cb,House Sabiá Store,Casa Sabiá Store
ZAV00029,31be790e64fc99f8ff48ec2bd18a3104,Mundo Âmbar Shop (Pty) Ltd,Mundo Âmbar Shop
ZAV00030,80f2cf9abf6b5a0e5c612b5eea6646e6,Mundo Serra Comé.,Mundo Serra Comércio
ZAV00031,c8e135e7b21ecbc36c1153a29d2f5a06,Ponto Cedro (Pty) Ltd,Ponto Cedro
ZAV00032,431050a06a317f2b38168dec3dcd2b46,Empóri Verde Varejo,Empório Verde Varejo
ZAV00033,0adac9fbd9a2b63cccaac4f8756c1ca8,Atlântico Stor.,Atlântico Store
ZAV00034,7f02656561b680def9986c0795a8a080,MUNDOPITANGA,Mundo Pitanga
ZAV00035,0dfbed20065e425d2eaefb101f9816c0,NOVAMANGUE,Nova Mangue
ZAV00036,c963a25b8671419c6ce9eebe8fd03218,Central urora,Central Aurora
ZAV00037,778323240ce2830d68aab11794e00bfb,Central Atântico,Central Atlântico
ZAV00038,e0a366315b1b726b6c7832d664c0f530,Distribution Vitória,Distribuidora Vitória
ZAV00039,e63e8bfa530fb16910dd6956e592bb81,Nova Girassol Express (Pty) Ltd,Nova Girassol Express
ZAV00040,32fdd5d44ecb43dfd6a24b9369eca144,Loja Cora.,Loja Coral
ZAV00041,3bb32fedaa74e4ad20f4ce067733bd31,Bella Pita.,Bella Pitanga
ZAV00042,e908c0f3646e8b60375734a350d95d71,Onda Ltda.,Onda Ltda
ZAV00043,062c325cd6a2b87845fab56b4ec2eeae,Nova Mrfim,Nova Marfim
ZAV00044,52454f90d4c30c016768db02f88c1a74,CENTRALATLÂNTICODISTRIBUIDORA,Central Atlântico Distribuidora
ZAV00045,00ee68308b45bc5e2660cd833c3f81cc,Pont Pitanga Express,Ponto Pitanga Express
ZAV00046,640e21a7d01df7614a3b4923e990d40c,Prime Pampa Store (Pty) Ltd,Prime Pampa Store
ZAV00047,f84fa566034f5e8e880a07ec624c56af,GIRASSOLLTDA,Girassol Ltda
ZAV00048,011b0eaba87386a2ae96a7d32bb531d1,Emporio Atlantico (Pty) Ltd,Empório Atlântico
ZAV00049,d1ef48b38baca7e831711c4a0aeb398f,Cristal Brasil (Pty) Ltd,Cristal Brasil
ZAV00050,1c68394e931a64f90ea236c5ea590300,Ponto Onda (Pty) Ltd,Ponto Onda
ZAV00051,1b45169b635ef59425637e9a33eb5fb3,ÂMBARCOMÉRCIO,Âmbar Comércio
ZAV00052,b18dc380845b24038cfc48006478f099,Grupo arfim Ltda,Grupo Marfim Ltda
ZAV00053,a2b5b6105ea5942300631d2e76f4ffe0,Grupo Ipanema Shop.,Grupo Ipanema Shop
ZAV00054,1e8b33f18b4f7598d87f5cbee2282cc2,EMPÓRIOONDA,Empório Onda
ZAV00055,6b9b80d53ba3676eafe60268a810b5a1,MangueImportadora,Mangue Importadora
ZAV00056,f0e103c63864d5405b958d984b6e94c9,Emporio Atlantico (Pty) Ltd,Empório Atlântico
ZAV00057,2078fe5066350e7d220c0ad3a3bbc6c1,Mundo Solar Expr.,Mundo Solar Express
ZAV00058,4e326052e5dbba8adcd512f3450a307e,LOJAIPANEMA,Loja Ipanema
ZAV00059,75fdd0a732287f9497b179f6bd445d32,Cedo Atacado,Cedro Atacado
ZAV00060,7f40d06aa0b5f1aa4f41af8c0480e2ef,DISTRIBUIDORAAURORASHOP,Distribuidora Aurora Shop
ZAV00061,5194c22ed1f616ec0c0f33c571542879,MUNDOORQUÍDEA,Mundo Orquídea
ZAV00062,432c37c9dfba871172ec162e20118b8c,Horizonte Vare.,Horizonte Varejo
ZAV00063,e628d4a53c109f09ca88098338b3a3f5,Central Âmbar Shop.,Central Âmbar Shop
ZAV00064,33576ec5412fb5905d876f12f33bfde6,Pono Cristal Atacado,Ponto Cristal Atacado
ZAV00065,b494891378bd8f4560abe576c52deacd,LOJACRISTALIMPORTADORA,Loja Cristal Importadora
ZAV00066,08061dc0fc165ed41288cc7acde738ee,Marfim Impo.,Marfim Importadora
ZAV00067,968268a686aa05d1f529fb07dff08130,Âmbar Ditribuidora,Âmbar Distribuidora
ZAV00068,ac51cac5e20d69ff485a54746488ef48,Ponto Orquídea Distribution,Ponto Orquídea Distribuidora
ZAV00069,6eb94e1466490d327a09abf8f3552a50,Estilo Ipaema Brasil,Estilo Ipanema Brasil
ZAV00070,2039c5e51785b5dde7cf93ccb3b7be2c,Arte Solar Store (Pty) Ltd,Arte Solar Store
ZAV00071,b8578d2d823bd8e251f6fdd02b40902d,Bella Girassol (Pty) Ltd,Bella Girassol
ZAV00072,eb9cd5b35d95206585e2185318cb5c61,ESTILOAURORA,Estilo Aurora
ZAV00073,feb793c88d836c3a75efa4b5a3465d70,Grupo Pamp.,Grupo Pampa
ZAV00074,8e4f041ff58e7845456d3482524014b3,Prime Solar Expr.,Prime Solar Express
ZAV00075,4e17c65a516f69d023a2ae78b84f28d6,Orquíea Atacado,Orquídea Atacado
ZAV00076,e0878efa0e0b7e5313ac0b43bc04c081,VERDEATACADO,Verde Atacado
ZAV00077,c0e0b73d039eb9a99b6ce4cb7a429cd3,CASAORQUÍDEA,Casa Orquídea
ZAV00078,8ea394aed8138685abe1eb9f25e1021d,Lírio Shop.,Lírio Shop
ZAV00079,228e4c1a0be164f613d41c24345f9d2c,Distribuidora Verd.,Distribuidora Verde
ZAV00080,e84ad2127668df3aafc6b73531a0beb8,ATLÂNTICOSHOP,Atlântico Shop
ZAV00081,994f04b3718c2bab35c2adfa8afecd2a,Nova Ipanea Comércio,Nova Ipanema Comércio
ZAV00082,902c99f1ac505c0d18778b61bcd636f7,Sabiá Distribuidora (Pty) Ltd,Sabiá Distribuidora
ZAV00083,b5f49fe968dff6b112861e6cd8e192ef,Bella Coral (Pty) Ltd,Bella Coral
ZAV00084,f3b80352b986ab4d1057a4b724be19d0,SABIÁATACADO,Sabiá Atacado
ZAV00085,8476243f92442881ddd5b578975cf115,Grupo Atlântico Expr.,Grupo Atlântico Express
ZAV00086,0e44d110fa6a54e121cb2c095a77762f,Nova Vede Express,Nova Verde Express
ZAV00087,1acde099eb406aa220b1169b188b42da,Grupo Pitanga (Pty) Ltd,Grupo Pitanga
ZAV00088,004c9cd9d87a3c30c522c48c4fc07416,Estilo Sert.,Estilo Sertão
ZAV00089,6a3139c7bf09ece22a4713d956acbe5e,CENTRALÂMBARSHOP,Central Âmbar Shop
ZAV00090,2ee0a0689f2f6a72f35a7cb6033f6e7e,Epório Cedro Comércio,Empório Cedro Comércio
ZAV00091,e439f7176d763f92de325271111b2fd5,Cedro Shop (Pty) Ltd,Cedro Shop
ZAV00092,c092292535a57dacd95a8765f5518f87,Pampa Epress,Pampa Express
ZAV00093,c53bcd3be457a342a97e39e5a9f0be22,Distribuidora Palmeira Ltda (Pty) Ltd,Distribuidora Palmeira Ltda
ZAV00094,a0a14e50070f3225b3eabba5b85da517,Bella Solar Comercio (Pty) Ltd,Bella Solar Comércio
ZAV00095,aae5953b9edddf14749c0d65d60eb4b9,CASAMARFIMBRASIL,Casa Marfim Brasil
ZAV00096,134a288e7de827ec5ec62e3ec9c3a295,Distribuidora Quar.,Distribuidora Quartzo
ZAV00097,1660ad786c27fd935378b6192a90b417,DISTRIBUIDORAPITANGACOMÉRCIO,Distribuidora Pitanga Comércio
ZAV00098,d7f1cfc638473be93baedbfd02208016,Distribution Sertão,Distribuidora Sertão
ZAV00099,cbbd5ae8f53de5f5097cd8217b529e24,Cristal Vare.,Cristal Varejo
ZAV00100,94d76e96eedd976258cd3278ce56d5f2,CASACRISTALIMPORTADORA,Casa Cristal Importadora
ZAV00101,3f3486b61f45078d4f31ee5e43d8c5bb,PONTOVERDEATACADO,Ponto Verde Atacado
ZAV00102,dff87e4de60c9736ce8df835951b09bc,Nova Rubi Comé.,Nova Rubi Comércio
ZAV00103,d66c11a9572221d92fbb8c4897db5f9b,Comercil Onda Comércio,Comercial Onda Comércio
ZAV00104,6c99c983ce3b6ba0ab813e6790e81691,ESTILOQUARTZODISTRIBUIDORA,Estilo Quartzo Distribuidora
ZAV00105,ee27a8f15b1dded4d213a468ba4eb391,Grupo Onda (Pty) Ltd,Grupo Onda
ZAV00106,539ed9e19811677513447759be5eccfc,Arte Tucano (Pty) Ltd,Arte Tucano
ZAV00107,ef9952469137ff190bacafe117f51537,MUNDOORQUÍDEAATACADO,Mundo Orquídea Atacado
ZAV00108,52f0fe436a347ddad7ed5f9aa4e27eaa,Central Girassol Wholesale,Central Girassol Atacado
ZAV00109,05d2173d43ea568aa0540eba70d2ca76,Ponto Coral Brasil (Pty) Ltd,Ponto Coral Brasil
ZAV00110,483ca627d131e18f988349b1655c0acd,Comercial Onda Ltda.,Comercial Onda Ltda
ZAV00111,827f8f69dfa529c561901c4f2e0f332f,Muno Pampa,Mundo Pampa
ZAV00112,a4bd6e9adf39b63f43dc545d3ca1f53d,Casa Solar Importdora,Casa Solar Importadora
ZAV00113,d36b07fd3c5088e477a72d1fccfe29d4,Horizonte Expr.,Horizonte Express
ZAV00114,e3d3b3efac954a60d61be70b7e05b49b,TUCANODISTRIBUIDORA,Tucano Distribuidora
ZAV00115,aec99834ab5d38ead22766ada8497e87,Loja Gira.,Loja Girassol
ZAV00116,fa7ad8ae9bcb2c4493fdf38e96b1d74f,Ipanema Impo.,Ipanema Importadora
ZAV00117,fc5a0d7a310a7a41abf86a458585ff2b,Cristal Expr.,Cristal Express
ZAV00118,8c0de775f52fe41590b376a3b7c50f68,ESPAÇOIPANEMAEXPRESS,Espaço Ipanema Express
ZAV00119,9e94fa26a70ede4d26226e918e8706a2,Emporio Cedro (Pty) Ltd,Empório Cedro
ZAV00120,f12ff17ad8bbf01ec5c33b17e506649b,Central Marf.,Central Marfim
