snapshot_date;vendor_code;vendor_name;vendor_grade;town;province;postcode;comm_pct;active_flag
01/09/2018;ZAV00020;Prime Horizonte Imports;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00021;Empório Pampa Comé.;SILVER;Kimberley;Northern Cape;8300;15.0;Y
01/09/2018;ZAV00022;Comercial Atlântico Lda;BRONZE;Durban;KwaZulu-Natal;4000;18.0;N
01/09/2018;ZAV00023;Arte Vitória Commerce;GOLD;Johannesburg;Gauteng;2000;12.0;Y
01/09/2018;ZAV00024;CENTRALLÍRIOCOMÉRCIO;GOLD;Johannesburg;Gauteng;2000;12.0;Y
01/09/2018;ZAV00025;Rubi Retail;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00026;Espaço Rubi.;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/09/2018;ZAV00027;Bella Gira.;SILVER;East London;Eastern Cape;5200;15.0;Y
01/09/2018;ZAV00028;House Sabiá Store;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00029;Mundo Âmbar Shop (Pty) Ltd;BRONZE;Johannesburg;Gauteng;2000;18.0;Y
01/09/2018;ZAV00030;Mundo Serra Comé.;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/09/2018;ZAV00031;Ponto Cedro (Pty) Ltd;GOLD;Sandton;Gauteng;2196;12.0;Y
01/09/2018;ZAV00032;Empóri Verde Varejo;GOLD;Durban;KwaZulu-Natal;4000;12.0;N
01/09/2018;ZAV00033;Atlântico Stor.;GOLD;Kimberley;Mpumalanga;1200;12.0;Y
01/09/2018;ZAV00034;MUNDOPITANGA;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/09/2018;ZAV00035;NOVAMANGUE;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00036;Central urora;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00037;Central Atântico;BRONZE;East London;Eastern Cape;5200;18.0;Y
01/09/2018;ZAV00038;Distribution Vitória;GOLD;Bloemfontein;Free State;9300;12.0;Y
01/09/2018;ZAV00039;Nova Girassol Express (Pty) Ltd;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00040;Loja Cora.;BRONZE;Centurion;Gauteng;157;18.0;Y
01/09/2018;ZAV00041;Bella Pita.;BRONZE;Nelspruit;Mpumalanga;1200;18.0;Y
01/09/2018;ZAV00042;Onda Ltda.;BRONZE;Sandton;Mpumalanga;1200;18.0;Y
01/09/2018;ZAV00043;Nova Mrfim;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00044;CENTRALATLÂNTICODISTRIBUIDORA;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00045;Pont Pitanga Express;GOLD;Stellenbosch;Western Cape;7600;12.0;N
01/09/2018;ZAV00046;Prime Pampa Store (Pty) Ltd;GOLD;Bloemfontein;Free State;9300;12.0;N
01/09/2018;ZAV00047;GIRASSOLLTDA;GOLD;Nelspruit;Mpumalanga;1200;12.0;Y
01/09/2018;ZAV00048;Emporio Atlantico (Pty) Ltd;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00049;Cristal Brasil (Pty) Ltd;SILVER;Port Elizabeth;Eastern Cape;6000;15.0;Y
01/09/2018;ZAV00050;Ponto Onda (Pty) Ltd;PLATINUM;Nelspruit;Mpumalanga;1200;9.5;Y
01/09/2018;ZAV00051;ÂMBARCOMÉRCIO;BRONZE;Johannesburg;Free State;9300;18.0;N
01/09/2018;ZAV00052;Grupo arfim Ltda;GOLD;Rustenburg;North West;300;12.0;Y
01/09/2018;ZAV00053;Grupo Ipanema Shop.;SILVER;Pretoria;Gauteng;1;15.0;Y
01/09/2018;ZAV00054;EMPÓRIOONDA;PLATINUM;Sandton;Gauteng;2196;9.5;Y
01/09/2018;ZAV00055;MangueImportadora;SILVER;Nelspruit;Mpumalanga;1200;15.0;Y
01/09/2018;ZAV00056;Emporio Atlantico (Pty) Ltd;SILVER;Johannesburg;Gauteng;2000;15.0;N
01/09/2018;ZAV00057;Mundo Solar Expr.;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00058;LOJAIPANEMA;BRONZE;East London;Eastern Cape;5200;18.0;Y
01/09/2018;ZAV00059;Cedo Atacado;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00060;DISTRIBUIDORAAURORASHOP;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00061;MUNDOORQUÍDEA;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00062;Horizonte Vare.;GOLD;Nelspruit;Mpumalanga;1200;12.0;Y
01/09/2018;ZAV00063;Central Âmbar Shop.;BRONZE;Stellenbosch;Western Cape;7600;18.0;Y
01/09/2018;ZAV00064;Pono Cristal Atacado;SILVER;Stellenbosch;Western Cape;7600;15.0;Y
01/09/2018;ZAV00065;LOJACRISTALIMPORTADORA;SILVER;Sandton;Gauteng;2196;15.0;Y
01/09/2018;ZAV00066;Marfim Impo.;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00067;Âmbar Ditribuidora;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00068;Ponto Orquídea Distribution;SILVER;Stellenbosch;Western Cape;7600;15.0;Y
01/09/2018;ZAV00069;Estilo Ipaema Brasil;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00070;Arte Solar Store (Pty) Ltd;BRONZE;Sandton;Gauteng;2196;18.0;Y
01/09/2018;ZAV00071;Bella Girassol (Pty) Ltd;SILVER;Bloemfontein;Free State;9300;15.0;N
01/09/2018;ZAV00072;ESTILOAURORA;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00073;Grupo Pamp.;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00074;Prime Solar Expr.;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00075;Orquíea Atacado;GOLD;Nelspruit;Mpumalanga;1200;12.0;Y
01/09/2018;ZAV00076;VERDEATACADO;SILVER;Nelspruit;Mpumalanga;1200;15.0;Y
01/09/2018;ZAV00077;CASAORQUÍDEA;GOLD;Soweto;Gauteng;1804;12.0;Y
01/09/2018;ZAV00078;Lírio Shop.;SILVER;Kimberley;Gauteng;1804;15.0;Y
01/09/2018;ZAV00079;Distribuidora Verd.;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00080;ATLÂNTICOSHOP;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00081;Nova Ipanea Comércio;SILVER;Port Elizabeth;Eastern Cape;6000;15.0;N
01/09/2018;ZAV00082;Sabiá Distribuidora (Pty) Ltd;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00083;Bella Coral (Pty) Ltd;BRONZE;Nelspruit;Mpumalanga;1200;18.0;Y
01/09/2018;ZAV00084;SABIÁATACADO;GOLD;Cape Town;Western Cape;8000;12.0;Y
01/09/2018;ZAV00085;Grupo Atlântico Expr.;SILVER;Sandton;Gauteng;2196;15.0;Y
01/09/2018;ZAV00086;Nova Vede Express;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00087;Grupo Pitanga (Pty) Ltd;BRONZE;Centurion;Gauteng;157;18.0;Y
01/09/2018;ZAV00088;Estilo Sert.;GOLD;Bloemfontein;Free State;9300;12.0;Y
01/09/2018;ZAV00089;CENTRALÂMBARSHOP;SILVER;Nelspruit;Mpumalanga;1200;15.0;Y
01/09/2018;ZAV00090;Epório Cedro Comércio;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/09/2018;ZAV00091;Cedro Shop (Pty) Ltd;BRONZE;Pretoria;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00092;Pampa Epress;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00093;Distribuidora Palmeira Ltda (Pty) Ltd;SILVER;Port Elizabeth;Eastern Cape;6000;15.0;Y
01/09/2018;ZAV00094;Bella Solar Comercio (Pty) Ltd;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00095;CASAMARFIMBRASIL;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00096;Distribuidora Quar.;BRONZE;Stellenbosch;Western Cape;7600;18.0;Y
01/09/2018;ZAV00097;DISTRIBUIDORAPITANGACOMÉRCIO;SILVER;Pretoria;Gauteng;1;15.0;Y
01/09/2018;ZAV00098;Distribution Sertão;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00099;Cristal Vare.;BRONZE;Johannesburg;Gauteng;2000;18.0;Y
01/09/2018;ZAV00100;CASACRISTALIMPORTADORA;SILVER;Pietermaritzburg;KwaZulu-Natal;3201;15.0;Y
01/09/2018;ZAV00101;PONTOVERDEATACADO;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00102;Nova Rubi Comé.;BRONZE;Sandton;Gauteng;2196;18.0;Y
01/09/2018;ZAV00103;Comercil Onda Comércio;SILVER;Durban;Gauteng;2196;15.0;Y
01/09/2018;ZAV00104;ESTILOQUARTZODISTRIBUIDORA;BRONZE;Pietermaritzburg;Limpopo;700;18.0;N
01/09/2018;ZAV00105;Grupo Onda (Pty) Ltd;SILVER;Cape Town;Western Cape;8000;15.0;N
01/09/2018;ZAV00106;Arte Tucano (Pty) Ltd;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00107;MUNDOORQUÍDEAATACADO;BRONZE;Pretoria;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00108;Central Girassol Wholesale;GOLD;Sandton;Gauteng;2196;12.0;Y
01/09/2018;ZAV00109;Ponto Coral Brasil (Pty) Ltd;SILVER;Pietermaritzburg;KwaZulu-Natal;3201;15.0;Y
01/09/2018;ZAV00110;Comercial Onda Ltda.;PLATINUM;Cape Town;Western Cape;8000;9.5;Y
01/09/2018;ZAV00111;Muno Pampa;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00112;Casa Solar Importdora;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00113;Horizonte Expr.;BRONZE;Sandton;Gauteng;2196;18.0;Y
01/09/2018;ZAV00114;TUCANODISTRIBUIDORA;SILVER;Pietermaritzburg;KwaZulu-Natal;3201;15.0;Y
01/09/2018;ZAV00115;Loja Gira.;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00116;Ipanema Impo.;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00117;Cristal Expr.;BRONZE;Johannesburg;Gauteng;2000;18.0;Y
01/09/2018;ZAV00118;ESPAÇOIPANEMAEXPRESS;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/09/2018;ZAV00119;Emporio Cedro (Pty) Ltd;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00120;Central Marf.;SILVER;Johannesburg;Gauteng;2000;15.0;Y
01/09/2018;ZAV00121;Protea Point Trading;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00122;Silver Bay (Pty) Ltd;GOLD;Rustenburg;North West;300;12.0;Y
01/09/2018;ZAV00123;Zulu Junction Group;SILVER;Johannesburg;Mpumalanga;1200;15.0;Y
01/09/2018;ZAV00124;Karoo Peak;BRONZE;Sandton;Gauteng;2196;18.0;Y
01/09/2018;ZAV00125;Table Bay;SILVER;Kimberley;Northern Cape;8300;15.0;Y
01/09/2018;ZAV00126;Silver Trading;BRONZE;Centurion;Gauteng;157;18.0;Y
01/09/2018;ZAV00127;Zulu Reef Distribution;GOLD;Port Elizabeth;Eastern Cape;6000;12.0;Y
01/09/2018;ZAV00128;Protea Peak;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00129;Amber Grove;PLATINUM;Pretoria;Gauteng;1;9.5;Y
01/09/2018;ZAV00130;Highveld Springs Enterprises;BRONZE;Durban;KwaZulu-Natal;4000;18.0;N
01/09/2018;ZAV00131;Amber Hollow;SILVER;Johannesburg;Gauteng;2000;15.0;Y
01/09/2018;ZAV00132;Table Trading Wholesale;BRONZE;Nelspruit;Mpumalanga;1200;18.0;Y
01/09/2018;ZAV00133;Protea Fields Wholesale;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00134;Highveld Ridge;GOLD;Pietermaritzburg;KwaZulu-Natal;3201;12.0;Y
01/09/2018;ZAV00135;Tugela Hollow;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00136;Amber Peak;PLATINUM;Pietermaritzburg;KwaZulu-Natal;3201;9.5;Y
01/09/2018;ZAV00137;Zulu Fields;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00138;Cape Fields;SILVER;Stellenbosch;Western Cape;7600;15.0;N
01/09/2018;ZAV00139;Boland Wharf;BRONZE;Port Elizabeth;Eastern Cape;6000;18.0;Y
01/09/2018;ZAV00140;Protea Wharf Supplies;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00141;Tugela Wharf;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00142;Amber Junction;GOLD;Port Elizabeth;Eastern Cape;6000;12.0;Y
01/09/2018;ZAV00143;Boland Wharf CC;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00144;Vaal Hollow Retail;SILVER;Port Elizabeth;Eastern Cape;6000;15.0;Y
01/09/2018;ZAV00145;Silver Hollow Wholesale;GOLD;Sandton;Gauteng;2196;12.0;Y
01/09/2018;ZAV00146;Silver Fields Distribution;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00147;Table Ridge Supplies;GOLD;Stellenbosch;Western Cape;7600;12.0;Y
01/09/2018;ZAV00148;Amber Trading;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00149;Cape Trading;SILVER;East London;Eastern Cape;5200;15.0;Y
01/09/2018;ZAV00150;Drakensberg Ridge Distribution;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00151;Boland Junction CC;SILVER;Pretoria;Gauteng;1;15.0;Y
01/09/2018;ZAV00152;Drakensberg Reef Retail;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00153;Kalahari Ridge;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00154;Table Trading Supplies;GOLD;Durban;KwaZulu-Natal;4000;12.0;Y
01/09/2018;ZAV00155;Cape Springs CC;GOLD;Cape Town;Western Cape;8000;12.0;Y
01/09/2018;ZAV00156;Umhlanga Grove;BRONZE;Port Elizabeth;Eastern Cape;6000;18.0;Y
01/09/2018;ZAV00157;Silver Bay;BRONZE;Rustenburg;North West;300;18.0;Y
01/09/2018;ZAV00158;Boland Ridge (Pty) Ltd;BRONZE;East London;Eastern Cape;5200;18.0;Y
01/09/2018;ZAV00159;Protea Crest;BRONZE;Johannesburg;Gauteng;2000;18.0;Y
01/09/2018;ZAV00160;Tugela Peak;GOLD;East London;Eastern Cape;5200;12.0;Y
01/09/2018;ZAV00161;Protea Crest Trading;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/09/2018;ZAV00162;Amber Grove Enterprises;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00163;Kalahari Springs Supplies;BRONZE;Port Elizabeth;Eastern Cape;6000;18.0;N
01/09/2018;ZAV00164;Highveld Hollow Wholesale;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00165;Tugela Grove;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00166;Tugela Point Supplies;SILVER;Bloemfontein;Free State;9300;15.0;N
01/09/2018;ZAV00167;Table Ridge;PLATINUM;Kimberley;North West;300;9.5;Y
01/09/2018;ZAV00168;Kalahari Grove Distribution;SILVER;Nelspruit;Mpumalanga;1200;15.0;Y
01/09/2018;ZAV00169;Tugela Junction Supplies;BRONZE;Bloemfontein;Free State;9300;18.0;Y
01/09/2018;ZAV00170;Umhlanga Junction Distribution;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00171;Vaal Grove Group;SILVER;Sandton;Gauteng;2196;15.0;Y
01/09/2018;ZAV00172;Vaal Junction;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00173;Highveld Fields Retail;SILVER;Stellenbosch;Western Cape;7600;15.0;Y
01/09/2018;ZAV00174;Protea Ridge Retail;PLATINUM;Soweto;Gauteng;1804;9.5;Y
01/09/2018;ZAV00175;Drakensberg Springs Distribution;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00176;Cape Ridge;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00177;Table Crest Wholesale;BRONZE;Rustenburg;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00178;Cape Grove;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00179;Kalahari Trading;GOLD;Port Elizabeth;Eastern Cape;6000;12.0;Y
01/09/2018;ZAV00180;Table Fields;PLATINUM;East London;Eastern Cape;5200;9.5;Y
01/09/2018;ZAV00181;Drakensberg Hollow Supplies;SILVER;Nelspruit;Limpopo;700;15.0;Y
01/09/2018;ZAV00182;Zulu Junction CC;PLATINUM;Sandton;Gauteng;2196;9.5;Y
01/09/2018;ZAV00183;Boland Crest;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00184;Table Hollow;SILVER;Stellenbosch;Western Cape;7600;15.0;Y
01/09/2018;ZAV00185;Tugela Grove Retail;SILVER;Johannesburg;Gauteng;2000;15.0;Y
01/09/2018;ZAV00186;Drakensberg Point Group;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00187;Umhlanga Grove Trading;BRONZE;Nelspruit;Limpopo;700;18.0;Y
01/09/2018;ZAV00188;Tugela Hollow;BRONZE;Stellenbosch;Western Cape;7600;18.0;N
01/09/2018;ZAV00189;Highveld Ridge CC;BRONZE;Johannesburg;Gauteng;2000;18.0;Y
01/09/2018;ZAV00190;Protea Wharf Distribution;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00191;Karoo Fields Trading;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00192;Protea Bay CC;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00193;Cape Ridge Distribution;GOLD;Rustenburg;North West;300;12.0;Y
01/09/2018;ZAV00194;Table Junction Supplies;BRONZE;Durban;KwaZulu-Natal;4000;18.0;Y
01/09/2018;ZAV00195;Cape Vale;PLATINUM;Johannesburg;Gauteng;2000;9.5;Y
01/09/2018;ZAV00196;Vaal Crest Group;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00197;Tugela Grove Wholesale;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00198;Karoo Grove Enterprises;GOLD;Durban;Gauteng;2000;12.0;Y
01/09/2018;ZAV00199;Amber Reef;BRONZE;Stellenbosch;Western Cape;7600;18.0;N
01/09/2018;ZAV00200;Umhlanga Reef Group;GOLD;Centurion;Gauteng;157;12.0;Y
01/09/2018;ZAV00201;Table Ridge;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00202;Table Crest;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00203;Tugela Crest;BRONZE;East London;Eastern Cape;5200;18.0;Y
01/09/2018;ZAV00204;Vaal Springs Supplies;GOLD;Nelspruit;Mpumalanga;1200;12.0;Y
01/09/2018;ZAV00205;Protea Reef Retail;PLATINUM;Sandton;Gauteng;2196;9.5;Y
01/09/2018;ZAV00206;Protea Reef Supplies;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00207;Silver Junction;PLATINUM;Stellenbosch;Western Cape;7600;9.5;N
01/09/2018;ZAV00208;Zulu Hollow (Pty) Ltd;SILVER;Polokwane;Limpopo;700;15.0;Y
01/09/2018;ZAV00209;Vaal Vale;SILVER;Rustenburg;North West;300;15.0;Y
01/09/2018;ZAV00210;Vaal Trading CC;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00211;Cape Trading Trading;GOLD;Sandton;Gauteng;2196;12.0;N
01/09/2018;ZAV00212;Kalahari Fields CC;PLATINUM;East London;Eastern Cape;5200;9.5;Y
01/09/2018;ZAV00213;Kalahari Springs (Pty) Ltd;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00214;Karoo Junction;PLATINUM;Pretoria;Gauteng;1;9.5;Y
01/09/2018;ZAV00215;Amber Trading;BRONZE;Sandton;North West;300;18.0;Y
01/09/2018;ZAV00216;Kalahari Hollow;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00217;Boland Trading Supplies;BRONZE;Nelspruit;Mpumalanga;1200;18.0;Y
01/09/2018;ZAV00218;Vaal Point Supplies;BRONZE;Polokwane;Limpopo;700;18.0;N
01/09/2018;ZAV00219;Amber Wharf Retail;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/09/2018;ZAV00220;Zulu Wharf;GOLD;Bloemfontein;Free State;9300;12.0;Y
01/09/2018;ZAV00221;Umhlanga Crest Group;SILVER;East London;Eastern Cape;5200;15.0;Y
01/09/2018;ZAV00222;Umhlanga Crest Supplies;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00223;Boland Point Group;SILVER;Kimberley;Northern Cape;8300;15.0;Y
01/09/2018;ZAV00224;Drakensberg Trading Distribution;BRONZE;Durban;KwaZulu-Natal;4000;18.0;N
01/09/2018;ZAV00225;Karoo Ridge Supplies;PLATINUM;Port Elizabeth;Eastern Cape;6000;9.5;Y
01/09/2018;ZAV00226;Silver Ridge Retail;GOLD;Cape Town;Western Cape;8000;12.0;Y
01/09/2018;ZAV00227;Kalahari Trading;SILVER;Johannesburg;Gauteng;2000;15.0;Y
01/09/2018;ZAV00228;Kalahari Vale Enterprises;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/09/2018;ZAV00229;Karoo Crest CC;BRONZE;Pretoria;Gauteng;1;18.0;Y
01/09/2018;ZAV00230;Karoo Trading;SILVER;Bloemfontein;Free State;9300;15.0;Y
01/09/2018;ZAV00231;Cape Wharf Distribution;PLATINUM;Durban;KwaZulu-Natal;4000;9.5;Y
01/09/2018;ZAV00232;Karoo Grove Wholesale;BRONZE;Pietermaritzburg;KwaZulu-Natal;3201;18.0;Y
01/09/2018;ZAV00233;Highveld Point;BRONZE;Polokwane;Limpopo;700;18.0;Y
01/09/2018;ZAV00234;Highveld Point Supplies;BRONZE;Stellenbosch;Western Cape;7600;18.0;Y
01/09/2018;ZAV00235;Cape Trading;BRONZE;Nelspruit;Mpumalanga;1200;18.0;N
01/09/2018;ZAV00236;Karoo Reef;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00237;Drakensberg Crest Distribution;SILVER;Cape Town;Western Cape;8000;15.0;Y
01/09/2018;ZAV00238;Karoo Crest Enterprises;SILVER;Durban;KwaZulu-Natal;4000;15.0;Y
01/09/2018;ZAV00239;Protea Reef;GOLD;Port Elizabeth;Eastern Cape;6000;12.0;Y
01/09/2018;ZAV00240;Drakensberg Point CC;SILVER;Centurion;Gauteng;157;15.0;Y
01/09/2018;ZAV00241;Umhlanga Springs Supplies;BRONZE;Soweto;Gauteng;1804;18.0;Y
01/09/2018;ZAV00242;Umhlanga Grove Group;SILVER;East London;Eastern Cape;5200;15.0;Y
01/09/2018;ZAV00243;Vaal Vale Wholesale;BRONZE;Pietermaritzburg;Gauteng;1804;18.0;Y
01/09/2018;ZAV00244;Kalahari Fields;GOLD;Durban;KwaZulu-Natal;4000;12.0;Y
01/09/2018;ZAV00245;Cape Reef Group;SILVER;Pretoria;Gauteng;1;15.0;Y
01/09/2018;ZAV00246;Vaal Reef;PLATINUM;Centurion;Gauteng;157;9.5;Y
01/09/2018;ZAV00247;Boland Point CC;SILVER;Soweto;Gauteng;1804;15.0;Y
01/09/2018;ZAV00248;Drakensberg Wharf CC;BRONZE;Kimberley;Northern Cape;8300;18.0;Y
01/09/2018;ZAV00249;Protea Crest Group;SILVER;East London;Eastern Cape;5200;15.0;Y
01/09/2018;ZAV00250;Kalahari Trading CC;SILVER;Kimberley;Western Cape;7600;15.0;Y
01/09/2018;ZAV00251;Umhlanga Fields;SILVER;Rustenburg;North West;300;15.0;Y
01/09/2018;ZAV00252;Kalahari Vale Supplies;BRONZE;Port Elizabeth;Eastern Cape;6000;18.0;Y
01/09/2018;ZAV00253;Amber Trading (Pty) Ltd;BRONZE;Centurion;Gauteng;157;18.0;Y
01/09/2018;ZAV00254;Protea Bay CC;SILVER;Sandton;Gauteng;2196;15.0;Y
01/09/2018;ZAV00255;Boland Wharf Trading;SILVER;Port Elizabeth;Eastern Cape;6000;15.0;Y
01/09/2018;ZAV00256;Zulu Grove Trading;SILVER;Port Elizabeth;Northern Cape;8300;15.0;Y
01/09/2018;ZAV00257;Boland Crest;BRONZE;Cape Town;Western Cape;8000;18.0;Y
01/09/2018;ZAV00258;Highveld Grove Distribution;BRONZE;Rustenburg;North West;300;18.0;Y
