ord_ref,buyer_ref,ord_dt,ord_state,dispatch_dt,received_dt,promised_dt,promo_code
ZA-00009434,ZAC0019120,01/11/2017 08:22,COMPLETE,04/11/2017 15:48,08/11/2017 03:21,08/11/2017,FREESHIP
ZA-00009435,ZAC0011451,01/11/2017 17:30,COMPLETE,03/11/2017 17:16,06/11/2017 13:09,08/11/2017,
ZA-00009436,ZAC0000819,01/11/2017 20:25,COMPLETE,03/11/2017 18:41,04/11/2017 16:11,07/11/2017,
ZA-00009437,ZAC0000248,01/11/2017 20:21,COMPLETE,02/11/2017 13:59,06/11/2017 01:08,07/11/2017,
ZA-00009438,ZAC0014522,01/11/2017 14:13,COMPLETE,04/11/2017 23:36,11/11/2017 18:28,08/11/2017,
ZA-00009439,ZAC0001173,01/11/2017 17:56,COMPLETE,03/11/2017 00:56,06/11/2017 23:45,08/11/2017,FLASH25
ZA-00009440,ZAC0023666,01/11/2017 16:08,COMPLETE,04/11/2017 17:30,13/11/2017 08:56,11/11/2017,
ZA-00009441,ZAC0017781,01/11/2017 17:42,COMPLETE,02/11/2017 00:26,12/11/2017 11:10,06/11/2017,
ZA-00009442,ZAC0009432,01/11/2017 11:11,COMPLETE,02/11/2017 01:08,11/11/2017 07:21,06/11/2017,BULK20
ZA-00009443,ZAC0014749,01/11/2017 12:04,RETURNED,05/11/2017 12:46,08/11/2017 01:38,12/11/2017,WELCOME10
ZA-00009444,ZAC0000240,01/11/2017 14:10,COMPLETE,03/11/2017 04:16,04/11/2017 13:35,07/11/2017,FREESHIP
ZA-00009445,ZAC0005882,01/11/2017 16:01,COMPLETE,03/11/2017 11:21,13/11/2017 21:48,08/11/2017,FLASH25
ZA-00009446,ZAC0004814,01/11/2017 16:56,COMPLETE,05/11/2017 18:30,11/11/2017 11:33,12/11/2017,
ZA-00009447,ZAC0020782,01/11/2017 15:24,COMPLETE,03/11/2017 19:11,11/11/2017 04:15,08/11/2017,
ZA-00009448,ZAC0014689,01/11/2017 10:43,COMPLETE,02/11/2017 02:31,04/11/2017 02:18,12/11/2017,
ZA-00009449,ZAC0020508,01/11/2017 18:01,COMPLETE,02/11/2017 23:59,11/11/2017 03:44,07/11/2017,
ZA-00009450,ZAC0023936,01/11/2017 20:21,COMPLETE,06/11/2017 10:27,11/11/2017 05:19,10/11/2017,WINTER15
ZA-00009451,ZAC0001741,01/11/2017 08:28,COMPLETE,02/11/2017 16:18,08/11/2017 04:43,12/11/2017,
ZA-00009452,ZAC0009996,01/11/2017 22:28,COMPLETE,04/11/2017 16:28,06/11/2017 10:04,09/11/2017,
ZA-00009453,ZAC0002656,01/11/2017 17:20,COMPLETE,02/11/2017 21:44,11/11/2017 06:59,12/11/2017,
ZA-00009454,ZAC0002945,01/11/2017 17:51,COMPLETE,02/11/2017 12:11,03/11/2017 05:07,06/11/2017,
ZA-00009455,ZAC0013481,01/11/2017 11:22,COMPLETE,02/11/2017 00:33,07/11/2017 06:20,06/11/2017,
ZA-00009456,ZAC0017140,01/11/2017 19:18,COMPLETE,03/11/2017 15:32,06/11/2017 10:26,08/11/2017,
ZA-00009457,ZAC0010578,01/11/2017 22:51,COMPLETE,08/11/2017 13:31,14/11/2017 12:29,18/11/2017,
ZA-00009458,ZAC0019009,01/11/2017 18:21,COMPLETE,02/11/2017 10:14,06/11/2017 15:24,06/11/2017,
ZA-00009459,ZAC0002441,01/11/2017 09:53,COMPLETE,06/11/2017 02:46,16/11/2017 10:14,11/11/2017,
ZA-00009460,ZAC0007941,01/11/2017 17:42,COMPLETE,05/11/2017 06:46,08/11/2017 00:16,09/11/2017,
ZA-00009461,ZAC0022957,01/11/2017 17:24,COMPLETE,02/11/2017 18:45,08/11/2017 10:24,07/11/2017,
ZA-00009462,ZAC0014259,01/11/2017 09:20,PENDING,,,,
ZA-00009463,ZAC0014568,01/11/2017 18:04,COMPLETE,05/11/2017 03:35,09/11/2017 10:54,09/11/2017,
ZA-00009464,ZAC0015432,01/11/2017 10:25,COMPLETE,02/11/2017 07:13,06/11/2017 08:59,06/11/2017,
ZA-00009465,ZAC0005776,02/11/2017 16:11,COMPLETE,03/11/2017 21:09,12/11/2017 01:00,07/11/2017,BULK20
ZA-00009466,ZAC0014792,02/11/2017 12:20,COMPLETE,03/11/2017 12:37,07/11/2017 20:44,06/11/2017,FLASH25
ZA-00009467,ZAC0023068,02/11/2017 17:55,PENDING,,,,
ZA-00009468,ZAC0009249,02/11/2017 16:39,COMPLETE,04/11/2017 00:07,10/11/2017 04:05,07/11/2017,
ZA-00009469,ZAC0020824,02/11/2017 15:05,COMPLETE,06/11/2017 14:23,11/11/2017 21:52,10/11/2017,BULK20
ZA-00009470,ZAC0006967,02/11/2017 10:07,COMPLETE,05/11/2017 11:10,17/11/2017 09:41,09/11/2017,WELCOME10
ZA-00009471,ZAC0014859,02/11/2017 13:41,COMPLETE,04/11/2017 02:42,10/11/2017 13:39,11/11/2017,
ZA-00009472,ZAC0007866,02/11/2017 07:10,COMPLETE,03/11/2017 10:21,06/11/2017 12:05,07/11/2017,
ZA-00009473,ZAC0008871,02/11/2017 17:30,COMPLETE,03/11/2017 21:45,07/11/2017 04:07,06/11/2017,
ZA-00009474,ZAC0021605,02/11/2017 12:05,COMPLETE,03/11/2017 12:15,08/11/2017 14:35,13/11/2017,WINTER15
ZA-00009475,ZAC0016131,02/11/2017 22:38,COMPLETE,06/11/2017 16:35,17/11/2017 19:28,11/11/2017,WINTER15
ZA-00009476,ZAC0009003,02/11/2017 15:44,COMPLETE,05/11/2017 01:57,19/11/2017 06:20,09/11/2017,
ZA-00009477,ZAC0016504,02/11/2017 21:38,COMPLETE,04/11/2017 07:25,07/11/2017 09:46,09/11/2017,
ZA-00009478,ZAC0004279,02/11/2017 18:52,COMPLETE,03/11/2017 14:41,09/11/2017 20:06,07/11/2017,
ZA-00009479,ZAC0020041,02/11/2017 16:31,COMPLETE,04/11/2017 01:53,07/11/2017 00:21,09/11/2017,
ZA-00009480,ZAC0020724,02/11/2017 08:02,COMPLETE,04/11/2017 15:37,08/11/2017 08:13,09/11/2017,
ZA-00009481,ZAC0000242,02/11/2017 17:27,COMPLETE,06/11/2017 08:36,09/11/2017 18:12,11/11/2017,
ZA-00009482,ZAC0005946,02/11/2017 06:22,COMPLETE,03/11/2017 10:08,13/11/2017 13:20,13/11/2017,
ZA-00009483,ZAC0005154,02/11/2017 22:18,COMPLETE,04/11/2017 18:35,06/11/2017 13:34,08/11/2017,
ZA-00009484,ZAC0022237,02/11/2017 17:32,COMPLETE,08/11/2017 04:26,13/11/2017 22:35,15/11/2017,
ZA-00009485,ZAC0016956,02/11/2017 13:08,PENDING,,,,
ZA-00009486,ZAC0018824,02/11/2017 15:05,COMPLETE,04/11/2017 03:56,10/11/2017 00:16,08/11/2017,BULK20
ZA-00009487,ZAC0023358,02/11/2017 14:14,COMPLETE,03/11/2017 03:10,05/11/2017 18:14,06/11/2017,
ZA-00009488,ZAC0022970,02/11/2017 12:10,COMPLETE,04/11/2017 05:57,05/11/2017 18:20,07/11/2017,
ZA-00009489,ZAC0007801,02/11/2017 22:36,COMPLETE,05/11/2017 07:37,10/11/2017 09:43,09/11/2017,
ZA-00009490,ZAC0001901,02/11/2017 14:02,CANCELLED,,,,LOYAL5
ZA-00009491,ZAC0013965,02/11/2017 16:46,COMPLETE,04/11/2017 08:34,12/11/2017 03:58,07/11/2017,
ZA-00009492,ZAC0019588,02/11/2017 17:38,COMPLETE,04/11/2017 18:11,12/11/2017 16:41,07/11/2017,WELCOME10
ZA-00009493,ZAC0002169,02/11/2017 11:23,DISPATCHED,03/11/2017 16:20,,06/11/2017,
ZA-00009494,ZAC0005297,02/11/2017 12:50,COMPLETE,04/11/2017 08:03,06/11/2017 13:42,07/11/2017,
ZA-00009495,ZAC0019033,02/11/2017 21:48,COMPLETE,05/11/2017 20:34,11/11/2017 21:50,08/11/2017,
ZA-00009496,ZAC0015900,02/11/2017 09:38,COMPLETE,02/11/2017 22:15,06/11/2017 00:33,09/11/2017,
ZA-00009497,ZAC0020374,02/11/2017 16:53,COMPLETE,04/11/2017 07:30,08/11/2017 16:44,09/11/2017,WELCOME10
ZA-00009498,ZAC0007535,02/11/2017 10:27,CANCELLED,,,,
ZA-00009499,ZAC0006476,02/11/2017 07:16,COMPLETE,06/11/2017 13:23,11/11/2017 08:22,10/11/2017,
ZA-00009500,ZAC0006477,02/11/2017 13:11,COMPLETE,03/11/2017 04:25,04/11/2017 18:43,10/11/2017,BULK20
ZA-00009501,ZAC0012427,02/11/2017 10:02,COMPLETE,05/11/2017 11:16,09/11/2017 17:42,09/11/2017,
ZA-00009502,ZAC0019805,02/11/2017 12:21,COMPLETE,06/11/2017 21:23,10/11/2017 13:40,11/11/2017,
ZA-00009503,ZAC0013087,02/11/2017 18:47,COMPLETE,04/11/2017 15:21,07/11/2017 23:24,08/11/2017,
ZA-00009504,ZAC0010932,02/11/2017 16:50,COMPLETE,04/11/2017 05:42,07/11/2017 19:49,09/11/2017,
ZA-00009505,ZAC0020244,02/11/2017 22:38,DISPATCHED,04/11/2017 11:41,,07/11/2017,
ZA-00009506,ZAC0012639,02/11/2017 20:07,COMPLETE,05/11/2017 14:09,07/11/2017 07:50,08/11/2017,WELCOME10
ZA-00009507,ZAC0005001,02/11/2017 06:45,COMPLETE,02/11/2017 16:25,06/11/2017 08:58,09/11/2017,
ZA-00009508,ZAC0007054,02/11/2017 07:16,COMPLETE,04/11/2017 12:50,11/11/2017 00:29,08/11/2017,
ZA-00009509,ZAC0021596,02/11/2017 10:38,COMPLETE,05/11/2017 02:38,15/11/2017 22:53,09/11/2017,
ZA-00009510,ZAC0011761,02/11/2017 08:33,COMPLETE,05/11/2017 08:05,08/11/2017 05:30,10/11/2017,
ZA-00009511,ZAC0002403,02/11/2017 15:26,COMPLETE,03/11/2017 22:52,11/11/2017 16:49,07/11/2017,
ZA-00009512,ZAC0002551,02/11/2017 11:28,COMPLETE,03/11/2017 19:54,08/11/2017 16:08,07/11/2017,
ZA-00009513,ZAC0011776,02/11/2017 17:18,COMPLETE,09/11/2017 17:11,11/11/2017 20:47,12/11/2017,FLASH25
ZA-00009514,ZAC0018338,02/11/2017 18:50,COMPLETE,03/11/2017 20:06,09/11/2017 06:11,06/11/2017,
ZA-00009515,ZAC0014582,02/11/2017 19:11,COMPLETE,03/11/2017 06:24,06/11/2017 00:08,10/11/2017,
ZA-00009516,ZAC0007679,02/11/2017 15:57,COMPLETE,04/11/2017 17:53,08/11/2017 09:54,07/11/2017,
ZA-00009517,ZAC0015870,02/11/2017 06:21,COMPLETE,04/11/2017 21:11,09/11/2017 01:59,14/11/2017,
ZA-00009518,ZAC0000153,02/11/2017 06:33,COMPLETE,04/11/2017 06:37,06/11/2017 01:44,11/11/2017,
ZA-00009519,ZAC0001831,02/11/2017 11:14,COMPLETE,03/11/2017 19:29,06/11/2017 01:11,08/11/2017,LOYAL5
ZA-00009520,ZAC0012945,02/11/2017 22:29,COMPLETE,06/11/2017 23:40,10/11/2017 09:04,10/11/2017,WELCOME10
ZA-00009521,ZAC0022523,02/11/2017 22:30,COMPLETE,05/11/2017 02:50,10/11/2017 06:06,09/11/2017,
ZA-00009522,ZAC0021427,02/11/2017 19:51,COMPLETE,04/11/2017 22:40,09/11/2017 23:27,08/11/2017,
ZA-00009523,ZAC0019821,02/11/2017 06:34,COMPLETE,03/11/2017 06:58,05/11/2017 13:17,13/11/2017,
ZA-00009524,ZAC0021245,02/11/2017 11:11,COMPLETE,03/11/2017 20:23,07/11/2017 15:37,08/11/2017,
ZA-00009525,ZAC0019995,03/11/2017 14:16,COMPLETE,06/11/2017 10:15,07/11/2017 09:30,10/11/2017,BULK20
ZA-00009526,ZAC0020401,03/11/2017 12:13,COMPLETE,05/11/2017 03:46,07/11/2017 09:33,10/11/2017,FREESHIP
ZA-00009527,ZAC0018755,03/11/2017 07:57,COMPLETE,04/11/2017 07:22,06/11/2017 09:18,07/11/2017,
ZA-00009528,ZAC0005069,03/11/2017 13:10,DISPATCHED,04/11/2017 16:27,,07/11/2017,BULK20
ZA-00009529,ZAC0015361,03/11/2017 20:20,COMPLETE,03/11/2017 23:16,04/11/2017 23:14,10/11/2017,
ZA-00009530,ZAC0002680,03/11/2017 22:30,COMPLETE,06/11/2017 19:34,18/11/2017 18:30,10/11/2017,
ZA-00009531,ZAC0009127,03/11/2017 16:28,COMPLETE,04/11/2017 06:52,09/11/2017 17:17,07/11/2017,
ZA-00009532,ZAC0023299,03/11/2017 17:52,COMPLETE,04/11/2017 10:23,09/11/2017 09:08,11/11/2017,
ZA-00009533,ZAC0005045,03/11/2017 22:48,COMPLETE,05/11/2017 17:01,07/11/2017 05:16,08/11/2017,
ZA-00009534,ZAC0020611,03/11/2017 15:16,COMPLETE,04/11/2017 22:43,09/11/2017 03:54,08/11/2017,
ZA-00009535,ZAC0000758,03/11/2017 09:19,COMPLETE,06/11/2017 06:55,08/11/2017 08:31,10/11/2017,
ZA-00009536,ZAC0014008,03/11/2017 13:28,DISPATCHED,09/11/2017 06:06,,12/11/2017,
ZA-00009537,ZAC0004796,03/11/2017 07:30,COMPLETE,04/11/2017 05:43,09/11/2017 20:22,07/11/2017,
ZA-00009538,ZAC0008337,03/11/2017 20:49,COMPLETE,05/11/2017 02:14,05/11/2017 17:43,15/11/2017,
ZA-00009539,ZAC0000133,03/11/2017 07:06,COMPLETE,05/11/2017 00:06,10/11/2017 12:16,09/11/2017,
ZA-00009540,ZAC0003058,03/11/2017 21:50,COMPLETE,07/11/2017 10:04,09/11/2017 13:17,11/11/2017,FLASH25
ZA-00009541,ZAC0003156,03/11/2017 07:01,COMPLETE,03/11/2017 17:49,05/11/2017 04:14,07/11/2017,LOYAL5
ZA-00009542,ZAC0009588,03/11/2017 22:30,COMPLETE,04/11/2017 16:51,07/11/2017 07:25,11/11/2017,
ZA-00009543,ZAC0021717,03/11/2017 09:24,COMPLETE,06/11/2017 23:30,14/11/2017 03:53,09/11/2017,WELCOME10
ZA-00009544,ZAC0023827,03/11/2017 19:03,COMPLETE,04/11/2017 11:42,07/11/2017 10:16,07/11/2017,
ZA-00009545,ZAC0012422,03/11/2017 08:51,COMPLETE,05/11/2017 17:16,08/11/2017 21:53,12/11/2017,
ZA-00009546,ZAC0014457,03/11/2017 11:54,COMPLETE,05/11/2017 07:52,09/11/2017 15:23,10/11/2017,
ZA-00009547,ZAC0023955,03/11/2017 09:11,COMPLETE,07/11/2017 07:16,15/11/2017 06:29,10/11/2017,
ZA-00009548,ZAC0009748,03/11/2017 18:36,COMPLETE,10/11/2017 09:00,11/11/2017 06:01,15/11/2017,
ZA-00009549,ZAC0010472,03/11/2017 22:12,COMPLETE,04/11/2017 02:28,05/11/2017 23:52,09/11/2017,
ZA-00009550,ZAC0017944,03/11/2017 07:48,COMPLETE,03/11/2017 20:32,05/11/2017 05:29,07/11/2017,
ZA-00009551,ZAC0011023,03/11/2017 09:15,COMPLETE,03/11/2017 12:56,06/11/2017 07:06,10/11/2017,
ZA-00009552,ZAC0004863,03/11/2017 13:29,COMPLETE,04/11/2017 18:59,11/11/2017 13:33,09/11/2017,
ZA-00009553,ZAC0023480,03/11/2017 20:37,COMPLETE,04/11/2017 10:39,13/11/2017 14:25,11/11/2017,FLASH25
ZA-00009554,ZAC0003382,03/11/2017 06:48,COMPLETE,07/11/2017 00:24,13/11/2017 03:43,12/11/2017,WELCOME10
ZA-00009555,ZAC0010010,03/11/2017 12:24,COMPLETE,05/11/2017 00:59,08/11/2017 03:47,12/11/2017,
ZA-00009556,ZAC0000813,03/11/2017 11:11,COMPLETE,04/11/2017 14:50,15/11/2017 14:03,09/11/2017,
ZA-00009557,ZAC0022727,03/11/2017 22:52,COMPLETE,05/11/2017 23:49,08/11/2017 14:21,08/11/2017,
ZA-00009558,ZAC0019371,03/11/2017 06:29,COMPLETE,08/11/2017 13:01,11/11/2017 21:14,13/11/2017,
ZA-00009559,ZAC0013977,03/11/2017 15:44,COMPLETE,06/11/2017 06:56,14/11/2017 02:21,09/11/2017,
ZA-00009560,ZAC0006738,03/11/2017 11:41,COMPLETE,05/11/2017 14:12,10/11/2017 07:19,09/11/2017,
ZA-00009561,ZAC0023440,03/11/2017 09:49,COMPLETE,07/11/2017 01:39,11/11/2017 04:13,12/11/2017,
ZA-00009562,ZAC0022455,03/11/2017 13:27,DISPATCHED,04/11/2017 18:37,,08/11/2017,
ZA-00009563,ZAC0010185,03/11/2017 14:55,COMPLETE,05/11/2017 13:10,07/11/2017 07:16,15/11/2017,
ZA-00009564,ZAC0015011,03/11/2017 13:55,COMPLETE,04/11/2017 20:10,12/11/2017 03:05,14/11/2017,WELCOME10
ZA-00009565,ZAC0011947,03/11/2017 10:10,COMPLETE,05/11/2017 01:34,06/11/2017 23:07,10/11/2017,
ZA-00009566,ZAC0006977,03/11/2017 14:52,CANCELLED,,,,
ZA-00009567,ZAC0007164,03/11/2017 14:55,COMPLETE,04/11/2017 09:53,05/11/2017 17:30,09/11/2017,WINTER15
ZA-00009568,ZAC0015910,03/11/2017 07:55,COMPLETE,04/11/2017 14:33,14/11/2017 13:46,11/11/2017,
ZA-00009569,ZAC0016380,03/11/2017 08:35,COMPLETE,05/11/2017 04:55,18/11/2017 22:28,10/11/2017,
ZA-00009570,ZAC0003320,03/11/2017 11:00,COMPLETE,04/11/2017 23:54,09/11/2017 17:24,11/11/2017,
ZA-00009571,ZAC0018727,03/11/2017 16:56,COMPLETE,06/11/2017 03:47,12/11/2017 20:30,10/11/2017,
ZA-00009572,ZAC0020563,03/11/2017 18:11,COMPLETE,05/11/2017 20:47,11/11/2017 19:49,10/11/2017,
ZA-00009573,ZAC0002159,03/11/2017 07:47,COMPLETE,04/11/2017 10:35,08/11/2017 04:10,08/11/2017,BULK20
ZA-00009574,ZAC0000188,03/11/2017 22:54,COMPLETE,04/11/2017 04:53,11/11/2017 21:00,07/11/2017,
ZA-00009575,ZAC0000882,03/11/2017 16:51,COMPLETE,06/11/2017 06:27,19/11/2017 11:35,10/11/2017,
ZA-00009576,ZAC0012106,03/11/2017 13:44,COMPLETE,04/11/2017 05:14,08/11/2017 20:23,07/11/2017,LOYAL5
ZA-00009577,ZAC0002665,03/11/2017 15:08,COMPLETE,04/11/2017 01:47,09/11/2017 08:12,08/11/2017,
ZA-00009578,ZAC0004139,04/11/2017 14:18,COMPLETE,05/11/2017 10:07,10/11/2017 14:26,08/11/2017,LOYAL5
ZA-00009579,ZAC0018693,04/11/2017 07:08,COMPLETE,07/11/2017 09:08,10/11/2017 01:30,14/11/2017,
ZA-00009580,ZAC0008784,04/11/2017 16:18,COMPLETE,07/11/2017 10:16,12/11/2017 23:17,17/11/2017,
ZA-00009581,ZAC0019317,04/11/2017 19:49,COMPLETE,06/11/2017 13:45,11/11/2017 03:21,16/11/2017,
ZA-00009582,ZAC0014660,04/11/2017 08:32,COMPLETE,04/11/2017 20:14,06/11/2017 14:55,09/11/2017,
ZA-00009583,ZAC0016292,04/11/2017 22:02,CANCELLED,,,,WINTER15
ZA-00009584,ZAC0017066,04/11/2017 15:35,PENDING,,,,
ZA-00009585,ZAC0004894,04/11/2017 06:11,COMPLETE,05/11/2017 14:26,09/11/2017 00:48,12/11/2017,
ZA-00009586,ZAC0004817,04/11/2017 19:53,COMPLETE,06/11/2017 16:38,17/11/2017 21:18,11/11/2017,
ZA-00009587,ZAC0023470,04/11/2017 09:51,COMPLETE,05/11/2017 13:51,12/11/2017 02:12,12/11/2017,FLASH25
ZA-00009588,ZAC0008061,04/11/2017 15:29,DISPATCHED,05/11/2017 15:53,,12/11/2017,LOYAL5
ZA-00009589,ZAC0017356,04/11/2017 06:35,COMPLETE,07/11/2017 16:43,16/11/2017 14:47,14/11/2017,LOYAL5
ZA-00009590,ZAC0007337,04/11/2017 08:42,COMPLETE,05/11/2017 16:58,11/11/2017 23:31,08/11/2017,FLASH25
ZA-00009591,ZAC0010573,04/11/2017 06:01,COMPLETE,06/11/2017 12:18,07/11/2017 09:13,11/11/2017,FREESHIP
ZA-00009592,ZAC0010232,04/11/2017 06:18,COMPLETE,07/11/2017 03:53,18/11/2017 23:50,12/11/2017,
ZA-00009593,ZAC0007953,04/11/2017 14:47,COMPLETE,05/11/2017 06:41,10/11/2017 21:52,08/11/2017,
ZA-00009594,ZAC0017654,04/11/2017 07:26,COMPLETE,06/11/2017 14:05,08/11/2017 14:01,10/11/2017,FREESHIP
ZA-00009595,ZAC0003162,04/11/2017 13:11,COMPLETE,11/11/2017 20:51,15/11/2017 19:06,15/11/2017,FREESHIP
ZA-00009596,ZAC0020319,04/11/2017 21:06,COMPLETE,05/11/2017 13:38,07/11/2017 05:59,12/11/2017,
ZA-00009597,ZAC0020773,04/11/2017 14:08,COMPLETE,06/11/2017 05:04,14/11/2017 23:19,09/11/2017,
ZA-00009598,ZAC0017178,04/11/2017 19:47,COMPLETE,05/11/2017 17:56,10/11/2017 01:32,12/11/2017,
ZA-00009599,ZAC0007539,04/11/2017 22:06,COMPLETE,06/11/2017 14:22,07/11/2017 03:15,10/11/2017,
ZA-00009600,ZAC0023020,04/11/2017 22:26,COMPLETE,05/11/2017 09:01,08/11/2017 05:01,08/11/2017,
ZA-00009601,ZAC0021138,04/11/2017 22:25,COMPLETE,05/11/2017 23:48,13/11/2017 18:23,08/11/2017,
ZA-00009602,ZAC0012363,04/11/2017 20:16,COMPLETE,07/11/2017 06:04,10/11/2017 09:46,12/11/2017,
ZA-00009603,ZAC0014767,04/11/2017 20:43,COMPLETE,08/11/2017 13:00,09/11/2017 10:57,11/11/2017,LOYAL5
ZA-00009604,ZAC0001314,04/11/2017 11:32,COMPLETE,07/11/2017 06:52,17/11/2017 06:34,10/11/2017,
ZA-00009605,ZAC0002863,04/11/2017 10:40,COMPLETE,08/11/2017 10:10,10/11/2017 22:38,13/11/2017,
ZA-00009606,ZAC0021298,04/11/2017 22:08,COMPLETE,11/11/2017 10:37,24/11/2017 21:17,16/11/2017,
ZA-00009607,ZAC0020056,04/11/2017 15:05,COMPLETE,06/11/2017 20:21,14/11/2017 23:40,13/11/2017,
ZA-00009608,ZAC0016534,04/11/2017 06:28,COMPLETE,08/11/2017 07:01,10/11/2017 06:37,12/11/2017,
ZA-00009609,ZAC0017427,04/11/2017 07:01,COMPLETE,08/11/2017 16:48,11/11/2017 13:20,12/11/2017,WINTER15
ZA-00009610,ZAC0021678,04/11/2017 14:21,COMPLETE,05/11/2017 19:23,07/11/2017 05:14,08/11/2017,
ZA-00009611,ZAC0010455,04/11/2017 16:23,COMPLETE,06/11/2017 06:44,08/11/2017 01:27,13/11/2017,
ZA-00009612,ZAC0020589,04/11/2017 13:27,COMPLETE,07/11/2017 11:28,08/11/2017 20:55,11/11/2017,
ZA-00009613,ZAC0020882,04/11/2017 07:07,COMPLETE,05/11/2017 23:22,13/11/2017 19:31,08/11/2017,
ZA-00009614,ZAC0011878,04/11/2017 12:25,COMPLETE,05/11/2017 09:58,08/11/2017 23:43,12/11/2017,
ZA-00009615,ZAC0001764,04/11/2017 17:37,COMPLETE,05/11/2017 23:39,14/11/2017 10:55,08/11/2017,
ZA-00009616,ZAC0011243,04/11/2017 11:27,COMPLETE,08/11/2017 00:20,22/11/2017 14:09,15/11/2017,
ZA-00009617,ZAC0020488,04/11/2017 08:06,COMPLETE,09/11/2017 15:57,23/11/2017 19:16,14/11/2017,
ZA-00009618,ZAC0014530,04/11/2017 20:23,COMPLETE,09/11/2017 04:32,11/11/2017 00:00,14/11/2017,
