snapshot_date,seller_id,merchant_name,tier,commission_rate,seller_city,seller_state,status
2018-06-01,1f9ab4708f3056ede07124aad39a2554,Solar Varejo,gold,0.12,tupa,SP,active
2018-06-01,1961c3e1272bfeceb05d0b78b5bbfdaf,Loja Tucano Varejo,bronze,0.18,guarulhos,SP,active
2018-06-01,d3e7d37c0df9aef383f3f2a15b0dddfb,Comercial Atlântico Ltda,silver,0.15,sao jose dos pinhais,PR,active
2018-06-01,ec2e006556300a79a5a91e4876ab3a56,Marfim Comércio,bronze,0.18,sao paulo,SP,active
2018-06-01,b2a6d334e2833acea353624840e25a0e,Rubi Importadora,silver,0.15,sao paulo,SP,active
2018-06-01,d3674f271c91f824f82d24d92011f669,Estilo Âmbar,silver,0.15,brasilia,DF,active
2018-06-01,768de2a4fc06aacecb9a586ccc30746a,Sertão Store,bronze,0.18,brasilia,DF,active
2018-06-01,a81466620e46a6970b22ef40379fdfc9,Sertão Distribuidora,bronze,0.18,sao ludgero,SC,active
2018-06-01,5c030029b5916fed0986310385ec9009,Distribuidora Pitanga Shop,gold,0.12,sao jose,SC,inactive
2018-06-01,c0f783394e37cd9c9d7f5f81141450fa,Arte Sabiá,bronze,0.18,piracicaba,SP,active
2018-06-01,c353f8fc0ce8344999f17d578eb69a5e,Arte Onda,silver,0.15,porto alegre,RS,inactive
2018-06-01,8444e55c1f13cd5c179851e5ca5ebd00,Verde Ltda,gold,0.12,congonhal,MG,active
2018-06-01,28a26ebce31d5918b181ede016fd693b,Casa Coral Atacado,bronze,0.18,belo horizonte,MG,active
2018-06-01,41ab63a91b8b264e8c8780368bf1dd5b,Cedro Comércio,silver,0.15,belo horizonte,MG,active
2018-06-01,8759e7aedd644f487315e5860962f162,Solar Importadora,bronze,0.18,santo andre,SP,active
2018-06-01,e546117ed9cafbc40239c0c78635c584,Estilo Horizonte Ltda,silver,0.15,sao paulo,SP,active
2018-06-01,d71d863e5ef30d94e440c11be17dcd8f,Prime Solar Varejo,silver,0.15,osasco,SP,active
2018-06-01,0c7533c71df861ec58ad7ff999ed0e8d,Marfim Atacado,gold,0.12,valinhos,SP,active
2018-06-01,ef990a83bbea832f36ebe81376335aa8,Mangue Store,gold,0.12,joinville,SC,active
2018-06-01,41e0fa5761c886a630994a55c12087e7,Empório Jacarandá Distribuidora,bronze,0.18,guaruja,SP,active
2018-06-01,0747d5bb69f0586cc869d8af4c50f93e,Pitanga Ltda,bronze,0.18,saquarema,RJ,active
2018-06-01,7d294cf9a6a69dc6a0c3e540fff0e039,Rubi Express,silver,0.15,barra velha,SC,active
2018-06-01,c89cf7c468a48af70aada384e722f9e2,Jacarandá Distribuidora,bronze,0.18,petropolis,RJ,active
2018-06-01,b7ba853e9551f4558440881fd3e5c815,Âmbar Atacado,bronze,0.18,santo antonio da patrulha,RS,active
2018-06-01,13c2ed7698b3ca92dad49e849219da59,Pampa Distribuidora,bronze,0.18,ponta grossa,PR,active
2018-06-01,cbbd5ae8f53de5f5097cd8217b529e24,Cristal Varejo,bronze,0.18,santana de parnaiba,SP,active
2018-06-01,02ecc2a19303f05e59ce133fd923fff7,Nova Atlântico,silver,0.15,santo andre,SP,active
2018-06-01,c013e57c075a06e5b5c48ee03c525719,Loja Serra,silver,0.15,sao carlos,SP,active
2018-06-01,55f7a3319d80f7fdf078b8f03e6725fe,Bella Atlântico Varejo,silver,0.15,osasco,SP,active
2018-06-01,2d50d6282f8aa2257819a77bfaa0efe0,Distribuidora Âmbar,silver,0.15,ibitinga,SP,active
2018-06-01,b7e1750c1157341d2abd0251e07c186b,Distribuidora Verde Shop,silver,0.15,sao paulo,SP,active
2018-06-01,b90e891671cffd9557f33a97dc523645,Aurora Shop,silver,0.15,sao jose dos pinhais,PR,active
2018-06-01,a416b6a846a11724393025641d4edd5e,Verde Distribuidora,gold,0.12,sao paulo,SP,active
2018-06-01,7e93a43ef30c4f03f38b393420bc753a,Cristal Brasil,platinum,0.095,barueri,SP,inactive
2018-06-01,5206cc4bc2297c833e6061c49bf9c43f,Casa Cedro,silver,0.15,osasco,SP,active
2018-06-01,f410c8873029fcc3809b9df6d0b28914,Grupo Cristal Distribuidora,bronze,0.18,caxias do sul,SP,active
2018-06-01,ef506c96320abeedfb894c34db06f478,Prime Serra Varejo,gold,0.12,sao paulo,SP,active
2018-06-01,a13aaf2d2886ab9fb30fb9a920160b8f,Comercial Serra,bronze,0.18,joinville,SC,active
2018-06-01,7299e27ed73d2ad986de7f7c77d919fa,Distribuidora Girassol Varejo,platinum,0.095,araguari,MG,active
2018-06-01,8a9260f2b0340411d6d2a56bcf4f7378,Casa Rubi Importadora,gold,0.12,contagem,MG,active
2018-06-01,dedcab67899479e4ea5dcc4eba47f587,Vitória Varejo,bronze,0.18,jaragua do sul,SC,active
2018-06-01,b2479f944e1b90cf8a5de1bbfde284d6,Bella Mangue,gold,0.12,ibitinga,SP,active
2018-06-01,7722b1df1b0e383e000397b2c11e3e19,Sabiá Distribuidora,platinum,0.095,sao bernardo do campo,SP,active
2018-06-01,731ef20c231d9a7103a425e83fd91271,Sabiá Shop,gold,0.12,lages - sc,SC,active
2018-06-01,78813699ffac347fe27dba345a5f1551,Loja Atlântico Shop,bronze,0.18,bento goncalves,RS,active
2018-06-01,3296662b1331dea51e744505065ae889,Nova Sertão,bronze,0.18,catanduva,SP,active
2018-06-01,411f3b52d857390502ee4e4d5ceabc2d,Bella Âmbar,silver,0.15,ribeirao pires,SP,active
2018-06-01,bba3293d6f5d5af2f415e004e8b93ae3,Ponto Cristal Store,gold,0.12,sao paulo,SP,active
2018-06-01,4e7c18b98d84e05cbae3ff0ff03846c2,Marfim Atacado,gold,0.12,jaboticabal,SP,active
2018-06-01,b56906f7fd1696e043f1bcce164c487b,Casa Mangue Varejo,gold,0.12,echapora,SP,active
2018-06-01,d650b663c3b5f6fb392b6326366efa9a,Espaço Jacarandá,gold,0.12,cotia,SP,active
2018-06-01,669ae81880e08f269a64487cfb287169,Mundo Ipanema,gold,0.12,rio do sul,SC,active
2018-06-01,c2d70ce2c5d0a2eb75e78668236e6dc8,Loja Coral Ltda,silver,0.15,sao paulo,SP,active
2018-06-01,674207551483fec113276b67b0d871ff,Pitanga Express,bronze,0.18,sorocaba,SP,inactive
2018-06-01,abe42c5d03695b4257b5c6cbf4e6784e,Central Pitanga Atacado,gold,0.12,sbc/sp,RJ,active
2018-06-01,1996942dc085d7773ba77a529b163cd0,Bella Marfim,bronze,0.18,pradopolis,SP,active
2018-06-01,79b93a308a97792cf53ac75f46da00b5,Central Cristal Store,silver,0.15,rio de janeiro,RJ,active
2018-06-01,7cf4ea70955b00d6b3c22542598e2715,Estilo Tucano,bronze,0.18,pirassununga,SP,active
2018-06-01,63ffcb71394dd8ea3872ed9ffda17c74,Ponto Rubi Distribuidora,bronze,0.18,itaborai,RJ,active
2018-06-01,83353a83fd769dfafa4f21a72b15e3e5,Ipanema Express,bronze,0.18,sao paulo,SP,active
2018-06-01,cda598c48d7c614bc1cad7d8ff6f0010,Arte Cristal,silver,0.15,mirassol,SP,active
2018-06-01,d4910f1cdcfdabd48d6b316e395d4a23,Arte Sabiá,silver,0.15,santo andre,SP,active
2018-06-01,709e16e2b25c7474d980076c6bfc4806,Empório Atlântico,gold,0.12,birigui,SP,active
2018-06-01,9dc79dd988ac42f4d56c340d7048420a,Ponto Jacarandá,bronze,0.18,sao paulo,SP,active
2018-06-01,276677b5d08786d5dce7c2149dcce48b,Verde Atacado,silver,0.15,belo horizonte,MG,active
2018-06-01,9c4d31c7e46ab03a43fc06e3142afd4e,Espaço Pampa Ltda,silver,0.15,rio de janeiro,RJ,active
2018-06-01,512d298ac2a96d1931b6bd30aa21f61d,Central Sabiá,gold,0.12,rio de janeiro,RJ,active
2018-06-01,422be4cc81a457fdb46f47edeb968ae5,Estilo Aurora,silver,0.15,ibitinga,SP,active
2018-06-01,99cd94252748d2bdde08e17858233602,Casa Onda,bronze,0.18,sao paulo,SP,active
2018-06-01,698624c6632eeba1774924dbea24c700,Mundo Sabiá Express,bronze,0.18,sao paulo,SP,active
2018-06-01,8bb48dc19fccaa8613b6229bf7f452a2,Distribuidora Cristal,silver,0.15,assis,SP,active
2018-06-01,ad87df7699e83b8a91822a4a0b765c3a,Bella Cristal Brasil,bronze,0.18,jaguariuna,SP,active
2018-06-01,d6b664fa0667064c6d76394e7848d790,Atlântico Shop,silver,0.15,araraquara,SP,active
2018-06-01,98f52e1020fe788c10c0418de4393fec,Cristal Ltda,silver,0.15,macae,RJ,active
2018-06-01,62760d278921b5f352461620d68a9cee,Grupo Verde,gold,0.12,salto,SP,active
2018-06-01,eb72802c83dc7547529c9546d1a9b8ef,Casa Cedro,silver,0.15,rio claro,SP,active
2018-06-01,3f9be91358837bff69df67edfa3e42e8,Empório Tucano Store,bronze,0.18,londrina,PR,active
2018-06-01,1d4587203296c8f4ad134dc286fa6db0,Espaço Serra,silver,0.15,teresopolis,SP,active
2018-06-01,791cfcfe22fe4a771ece27f90017da92,Mundo Atlântico,bronze,0.18,ribeirao preto,SP,active
2018-06-01,392f7f2c797e4dc077e4311bde2ab8ce,Distribuidora Horizonte,bronze,0.18,rio de janeiro,RN,active
2018-06-01,0c8380b62e38e8a1e6adbeba7eb9688c,Atlântico Express,gold,0.12,tres coracoes,MG,active
2018-06-01,37be5a7c751166fbc5f8ccba4119e043,Comercial Ipanema Brasil,platinum,0.095,sao paulo,SP,active
2018-06-01,87d73636a3acf123e842bb890a4db036,Orquídea Store,silver,0.15,nhandeara,SP,active
2018-06-01,3d3ccf2b2f8134b10dce9dd446f0e075,Arte Jacarandá,bronze,0.18,ibitinga,SP,inactive
2018-06-01,e24d3429d294b2eb200b064ebb035879,Ponto Rubi,gold,0.12,sao paulo,SP,active
2018-06-01,44073f8b7e41514de3b7815dd0237f4f,Arte Sabiá,gold,0.12,brasilia,DF,active
2018-06-01,05ca864204d09595ae591b93ea9cf93d,Cristal Shop,bronze,0.18,barueri,SP,active
2018-06-01,9d39404483343dd55c7ae254494d8388,Atlântico Comércio,bronze,0.18,sao paulo,SP,active
2018-06-01,f9eda05b67bef472deaddbba84aca289,Arte Atlântico,silver,0.15,orleans,SC,active
2018-06-01,75745ef7bc7d4f3ea3380f6f5303f514,Espaço Horizonte Atacado,bronze,0.18,brasilia,DF,inactive
2018-06-01,0692610d8abe24f287e9fae90ea0bbee,Bella Onda,bronze,0.18,sao paulo,SP,active
2018-06-01,7b07b3c7487f0ea825fc6df75abd658b,Grupo Cedro,silver,0.15,sao paulo,SP,active
2018-06-01,99002261c568a84cce14d43fcffb43ea,Mangue Shop,gold,0.12,cuiaba,MT,active
2018-06-01,e5899683388855d3dabe8913bbe365de,Ponto Âmbar Store,bronze,0.18,sao carlos,SP,active
2018-06-01,784ba75dd9d20200c4caed3d7a77141a,Ponto Pitanga Brasil,gold,0.12,sao paulo,SP,active
2018-06-01,099095b050cfe8eb1ddff5317587e96e,Solar Comércio,silver,0.15,sao paulo,SP,active
2018-06-01,0ad80de75c811326389cfb1daba7d45e,Casa Sabiá,bronze,0.18,rio de janeiro,RJ,active
2018-06-01,b9a03475e6447e631b6799ec8274800f,Verde Brasil,silver,0.15,formosa do oeste,PR,active
2018-06-01,ba6b4a237f92479743cf0ca06b67a9ac,Arte Mangue,bronze,0.18,rio de janeiro,RJ,active
2018-06-01,ea00f977a203ff88adf7057cb7806998,Bella Sertão,bronze,0.18,santos,SP,active
2018-06-01,82e0a475a88cc9595229d8029273f045,Distribuidora Vitória Atacado,gold,0.12,sao paulo,SP,active
2018-06-01,ad75519a07f039025e83795a4418470f,Prime Cristal Importadora,silver,0.15,santa terezinha de goias,GO,inactive
2018-06-01,34aefe746cd81b7f3b23253ea28bef39,Arte Quartzo,bronze,0.18,curitiba,PR,active
2018-06-01,ed4acab38528488b65a9a9c603ff024a,Âmbar Express,gold,0.12,sao paulo,SP,active
2018-06-01,f0837c8d71434931d9e38e7b79234797,Casa Vitória Shop,silver,0.15,arvorezinha,RS,active
2018-06-01,fce62094ffe6a4009188ec44e681dfdd,Ponto Quartzo,gold,0.12,sao paulo,SP,active
2018-06-01,ebef8d8c92b4fd3226e5d407bbff21ac,Pitanga Shop,silver,0.15,ribeirao preto,SP,active
2018-06-01,d73cbd89533ce8b041a9190241453ac8,Ponto Cedro Store,silver,0.15,guiricema,MG,active
2018-06-01,75a4764c108403a7a0575140cb22287c,Central Palmeira,bronze,0.18,caxias do sul,RS,active
2018-06-01,70c0fda4c313d87115644d39e62eec60,Grupo Jacarandá Comércio,bronze,0.18,caruaru,PE,active
2018-06-01,ffcfefa19b08742c5d315f2791395ee5,Solar Store,bronze,0.18,curitiba,PR,active
2018-06-01,26e13b6ff5b641b329e5524241ee2c93,Grupo Onda,bronze,0.18,franca,SP,active
2018-06-01,0ade5cc4a305ed7093a23f68ca47519c,Empório Onda,silver,0.15,curitiba,PR,inactive
2018-06-01,fc59392d66ef99377e50356ee4f3b4e1,Estilo Aurora Importadora,bronze,0.18,salvador,BA,active
2018-06-01,b18dc380845b24038cfc48006478f099,Grupo Marfim Ltda,gold,0.12,diadema,SP,active
2018-06-01,f22a247b79dd22ecd91dc8e3b2a1b07c,Verde Comércio,bronze,0.18,itaquaquecetuba,SP,active
2018-06-01,889009a0ed0bb52c87819941192931b8,Estilo Verde Ltda,bronze,0.18,lencois paulista,SP,active
2018-06-01,ffc470761de7d0232558ba5e786e57b7,Empório Ipanema Shop,silver,0.15,guarulhos,SP,active
2018-06-01,4c498c7345e89aebad651544829beca0,Espaço Cedro,silver,0.15,carapicuiba,SP,active
2018-06-01,01bcc9d254a0143f0ce9791b960b2a47,Prime Âmbar Shop,silver,0.15,uruacu,GO,inactive
2018-06-01,f021c962aaba8ef6eb527a9c2c8394d1,Distribuidora Lírio,silver,0.15,itajai,SC,active
2018-06-01,024b564ae893ce8e9bfa02c10a401ece,Onda Distribuidora,bronze,0.18,sao paulo,SP,active
2018-06-01,a513150f33f99a06569e9cd5c4bb889b,Orquídea Shop,bronze,0.18,sao paulo,SP,inactive
2018-06-01,c1dde11f12d05c478f5de2d7319ad3b2,Nova Lírio,bronze,0.18,sao paulo,SP,active
2018-06-01,02f5837340d7eb4f653d676c7256523a,Arte Serra,silver,0.15,curitiba,PR,active
2018-06-01,7b98de631987e26dd6d803490c43a13c,Casa Horizonte Shop,silver,0.15,loanda,PR,active
2018-06-01,f12ff17ad8bbf01ec5c33b17e506649b,Central Marfim,gold,0.12,sao paulo,SP,active
2018-06-01,a64e44665225d19dfc0277eeeaaccc57,Nova Verde,bronze,0.18,sao paulo,SP,active
2018-06-01,6a8a889bde935bafa76d7848782dfaf9,Mundo Girassol Store,bronze,0.18,sao paulo,SP,active
2018-06-01,42b6488f5b8246d9141712abd4b1b693,Pampa Ltda,bronze,0.18,maringa,PR,active
2018-06-01,d6cd01c59123df02fc226eadbadb5f89,Tucano Atacado,silver,0.15,sao paulo,SP,active
2018-06-01,c8e135e7b21ecbc36c1153a29d2f5a06,Ponto Cedro,silver,0.15,sao paulo,SP,active
2018-06-01,229c3efbfb0ea2058de4ccdfbc3d784a,Espaço Quartzo,gold,0.12,belo horizonte,MG,active
2018-06-01,f9a02f1922d1de564392e656d82b3fda,Loja Lírio,bronze,0.18,ferraz de vasconcelos,SP,active
2018-06-01,9523fb39dd240aa958e040f8183d64f3,Casa Rubi Varejo,bronze,0.18,sao paulo,SP,active
2018-06-01,95ec4458365c4d11f452ccf538377619,Sabiá Store,silver,0.15,limeira,SP,active
2018-06-01,6ec1a01e866584bb679eb9b098345919,Espaço Girassol,silver,0.15,santos,SP,inactive
2018-06-01,f6122bc84774df1b372bdb3bb88ddb9f,Distribuidora Jacarandá Distribuidora,silver,0.15,barueri,SP,inactive
2018-06-01,fa40cc5b934574b62717c68f3d678b6d,Comercial Pitanga Store,gold,0.12,sao paulo,SP,active
2018-06-01,623ad9d0c1e14bb5464a8c72bff7b4af,Distribuidora Aurora,bronze,0.18,claudio,MG,active
2018-06-01,c0098efcf800861dcae589affca31408,Ipanema Importadora,bronze,0.18,ribeirao preto,SP,inactive
2018-06-01,a63bfbaa882c8f4542891b4e2246cc7f,Estilo Aurora Express,gold,0.12,niteroi,RJ,active
2018-06-01,48b6c3f4c6a93171da04b75313f2130f,Comercial Âmbar,silver,0.15,osvaldo cruz,SP,active
2018-06-01,270d3ef21830ad0ecf3a6c53d08a533a,Mundo Orquídea,bronze,0.18,luziania,SP,active
2018-06-01,89c127985a8b130cfa45c1d36764017a,Nova Horizonte,gold,0.12,osasco,SP,inactive
2018-06-01,8b2492b7ff4468839593fafeed55bad9,Mangue Comércio,silver,0.15,sao goncalo,RJ,inactive
2018-06-01,1e9d5a33694bddb76316fd1f54734d20,Ponto Atlântico Express,bronze,0.18,jaciara,MT,active
2018-06-01,5e49e3a44bdeb5aab2684258bbd4f525,Atlântico Express,bronze,0.18,balenario camboriu,SC,active
2018-06-01,8e34331b7eedd03be4e5d965c1956225,Comercial Sabiá Varejo,bronze,0.18,sao paulo,SP,active
2018-06-01,aaed1309374718fdd995ee4c58c9dfcd,Bella Coral Importadora,platinum,0.095,timbo,SC,active
2018-06-01,11d4c477d09821164bca4f70a2eae031,Ponto Marfim,bronze,0.18,ribeirao preto,SP,active
2018-06-01,ff314fa6033cc68ec451c47aee2d6ba4,Empório Cristal Distribuidora,bronze,0.18,sao paulo,SP,active
2018-06-01,d1c7fa84e48cfa21a0e595167c1c500e,Girassol Shop,silver,0.15,jacutinga,RS,active
2018-06-01,c7246702dc991a06d788120dc7544391,Arte Quartzo,silver,0.15,fortaleza,CE,active
2018-06-01,e819bcfade7b5d88a27325eb6cfd62c5,Arte Marfim,silver,0.15,guarulhos,SP,active
2018-06-01,6d2f2e3b539480db1e0842b3a4e32e6e,Horizonte Brasil,bronze,0.18,guarulhos,SP,active
2018-06-01,e88165a185134e13fdfc85d4fa654db8,Jacarandá Express,bronze,0.18,ferraz de  vasconcelos,SP,active
2018-06-01,9e6229250fedbe05838fef417b74e7fb,Espaço Lírio,silver,0.15,mirandopolis,SP,active
2018-06-01,5abb8ea023c77787f2c15da891c8d384,Verde Distribuidora,silver,0.15,joinville,SC,active
2018-06-01,1d953075c2f0dd990bacf27b83b330f1,Prime Orquídea,bronze,0.18,belo horizonte,MG,active
2018-06-01,817245bcc3badd82bbd222e0366951a6,Marfim Express,silver,0.15,bauru,SP,active
2018-06-01,caa9bc43a9fe8cf9c564ddd8a03cc4a6,Horizonte Shop,bronze,0.18,jacarei,SP,active
2018-06-01,615005a3ef192c00c6f0e977cee3d2bc,Distribuidora Verde,bronze,0.18,itu,SP,active
2018-06-01,1284de4ae8aa26997e748c851557cf0e,Orquídea Varejo,silver,0.15,laranjeiras do sul,SP,active
2018-06-01,5fd924b4836098a5be0ecf81ba054ce0,Jacarandá Varejo,bronze,0.18,sao paulo,SP,active
2018-06-01,7178f9f4dd81dcef02f62acdf8151e01,Casa Orquídea Express,platinum,0.095,videira,SC,active
2018-06-01,8132b9bd16876e1b0f8808d43825dd48,Bella Verde Store,bronze,0.18,florianopolis,SC,active
2018-06-01,3f995f07c49d0d55a99d5c54957f7d81,Coral Store,silver,0.15,itapecerica da serra,SP,active
2018-06-01,a6bd7d1ccdac48c6b33b28596b7eb122,Horizonte Distribuidora,gold,0.12,mamanguape,PB,active
2018-06-01,6650fcccd8cd2f7e55ffa524f30c4c59,Mangue Brasil,bronze,0.18,sao paulo,SP,active
2018-06-01,3db66a856d18a9cba7c9241fc5221c50,Marfim Brasil,gold,0.12,ponte nova,MG,active
2018-06-01,8b181ee5518df84f18f4e1a43fe07923,Grupo Atlântico Atacado,silver,0.15,goioere,SP,active
2018-06-01,10ff823eda2b032e2c93d17a7d294736,Distribuidora Palmeira Atacado,silver,0.15,pederneiras,SP,active
2018-06-01,b4a476fbd28de64b1e347abf9089366a,Onda Brasil,silver,0.15,itapevi,SP,inactive
2018-06-01,39c763cca83e654764b7a4a650fb9b7c,Solar Atacado,silver,0.15,goiania,GO,active
2018-06-01,dadc51ef321949ec9a3ab25cd902e23d,Mundo Cristal Ltda,silver,0.15,sao paulo,SP,active
2018-06-01,83b08de96980757220871b31bf6cffca,Bella Rubi Importadora,bronze,0.18,rio de janeiro,RJ,active
2018-06-01,14a08204d03bb6b6bde8029f801ae0eb,Grupo Cristal,silver,0.15,sao paulo,SP,active
2018-06-01,bee36b4f9a2b9fdcaff6ec05df202ed0,Grupo Mangue Varejo,bronze,0.18,sao paulo,SP,active
2018-06-01,28872dc528e978a639754bc8c2ce5a4c,Quartzo Atacado,bronze,0.18,caxias do sul,RS,active
2018-06-01,c85d7b477a709c85a1e8b8f25aa1b270,Arte Âmbar Store,silver,0.15,sao bernardo do campo,SP,inactive
2018-06-01,739c7d7be81f63812dea0d1b1451c651,Distribuidora Onda Ltda,silver,0.15,campina grande,PB,active
2018-06-01,657969cca82e884d272385ec0ef06edd,Mundo Verde,bronze,0.18,estancia velha,RS,active
2018-06-01,455befea1bb853c75ccbca94cff26e5c,Estilo Coral Atacado,bronze,0.18,resende,RJ,active
2018-06-01,800214c63934acd05d47e84214db8ba8,Rubi Comércio,bronze,0.18,jaragua do sul,SC,active
2018-06-01,5cf1ec37aea089f45110c70653a166ab,Mundo Solar,bronze,0.18,porto alegre,SP,active
2018-06-01,0a82f5fb06a4fe4ac2cf7cb412ec71b8,Comercial Verde Distribuidora,silver,0.15,sao paulo,SP,active
2018-06-01,e45edf75f568ed2f93f78d060e246e25,Prime Solar Atacado,bronze,0.18,rio de janeiro,RJ,inactive
2018-06-01,3d621842b2ed28e2b474132480edac3c,Sertão Distribuidora,bronze,0.18,sao paulo,SP,inactive
2018-06-01,baf15155e37ef5492731459bdc05be8a,Arte Cristal Distribuidora,bronze,0.18,sao paulo,SP,active
2018-06-01,c0aff2da32c17759d30b22fb0af6649d,Espaço Orquídea,bronze,0.18,florianopolis,SC,active
2018-06-01,a17f621c590ea0fab3d5d883e1630ec6,Central Jacarandá Importadora,silver,0.15,sorocaba,SP,active
2018-06-01,4deebb3199eeafb282ae33229144f94b,Bella Mangue,bronze,0.18,sao paulo,SP,active
2018-06-01,9d69ba0a7a626a64dc5db08e529559cf,Central Serra,bronze,0.18,ribeirao preto,SP,active
2018-06-01,f92d8c817434bd2d84d4e9c61322b7fa,Empório Âmbar,bronze,0.18,sorocaba,SP,inactive
2018-06-01,8ca5b19e0263150d2c57afdde2b3d011,Grupo Quartzo,bronze,0.18,maua,SP,active
2018-06-01,eec3469d83e142f9a104886655338c37,Mundo Orquídea,bronze,0.18,bauru,SP,active
2018-06-01,55bb6fe5bebe5012e2d7d9928e1128ff,Loja Rubi,silver,0.15,catanduva,SP,active
2018-06-01,d180e07dc1e58c31c3f0cd599dc4d945,Aurora Varejo,bronze,0.18,belo horizonte,MG,active
2018-06-01,d6b1ce66b035a475f00c017792ff9769,Cristal Brasil,gold,0.12,salto,SP,active
2018-06-01,3aa3c89ae3cd482385568be76120f63c,Nova Girassol,bronze,0.18,goiania,GO,active
2018-06-01,fe4cd9461203cee790d36792420b310f,Pampa Express,bronze,0.18,caratinga,MG,active
2018-06-01,c3aad7dc65449ae90a5e9c3c6c1e78e0,Distribuidora Sertão Atacado,silver,0.15,auriflama/sp,SP,active
2018-06-01,f5fea3ffed6c2e889bab72705557c63a,Prime Pitanga Varejo,silver,0.15,rio de janeiro,RJ,active
2018-06-01,ececbfcff9804a2d6b40f589df8eef2b,Mundo Girassol Ltda,gold,0.12,franca,SP,active
